Method,AUC_score_label,AUC_negative_score_label,used_direction
threshold=6.5 TF-IDF pair similarity,0.6192528735632185,0.3807471264367816,score
threshold=6.5 BM25 pair similarity,0.6508620689655171,0.34913793103448276,score
threshold=6.5 KG-Enhanced pair score,0.5948275862068966,0.4051724137931034,score
threshold=6.5 DP-Embedding seed=3407,0.3754789272030651,0.6245210727969348,negative_score
threshold=6.5 DP-KER seed=3407,0.4918582375478927,0.5081417624521073,negative_score
threshold=6.5 DP-Embedding seed=42,0.5378352490421456,0.46216475095785436,score
threshold=6.5 DP-KER seed=42,0.6020114942528736,0.3979885057471264,score
threshold=6.5 DP-Embedding seed=2026,0.5086206896551725,0.4913793103448276,score
threshold=6.5 DP-KER seed=2026,0.5981800766283525,0.4018199233716475,score
threshold=7.0 TF-IDF pair similarity,0.6509491733006736,0.3490508266993264,score
threshold=7.0 BM25 pair similarity,0.7274954072259645,0.2725045927740355,score
threshold=7.0 KG-Enhanced pair score,0.5211267605633804,0.4788732394366197,score
threshold=7.0 DP-Embedding seed=3407,0.3563992651561543,0.6436007348438457,negative_score
threshold=7.0 DP-KER seed=3407,0.4390691977954685,0.5609308022045315,negative_score
threshold=7.0 DP-Embedding seed=42,0.4941824862216778,0.5058175137783221,negative_score
threshold=7.0 DP-KER seed=42,0.548683404776485,0.45131659522351497,score
threshold=7.0 DP-Embedding seed=2026,0.5003061849357011,0.4996938150642988,score
threshold=7.0 DP-KER seed=2026,0.5682792406613595,0.43172075933864046,score
threshold=7.5 TF-IDF pair similarity,0.6514767932489451,0.3485232067510548,score
threshold=7.5 BM25 pair similarity,0.6666666666666666,0.3333333333333333,score
threshold=7.5 KG-Enhanced pair score,0.4362869198312236,0.5637130801687763,negative_score
threshold=7.5 DP-Embedding seed=3407,0.4092827004219409,0.5907172995780591,negative_score
threshold=7.5 DP-KER seed=3407,0.4919831223628692,0.5080168776371309,negative_score
threshold=7.5 DP-Embedding seed=42,0.45147679324894513,0.5485232067510548,negative_score
threshold=7.5 DP-KER seed=42,0.5291139240506328,0.4708860759493671,score
threshold=7.5 DP-Embedding seed=2026,0.540084388185654,0.4599156118143459,score
threshold=7.5 DP-KER seed=2026,0.5983122362869199,0.4016877637130801,score
