feature,importance_mean,importance_std
bm25_score,0.17257117373666778,0.1432736604513495
tfidf_cosine,0.1391003246103613,0.11423858655385347
embedding_cosine,0.09735542578874815,0.0825839549143615
missing_skill_ratio,0.057937075677845826,0.04851598526363776
requirement_coverage,0.051832289456734126,0.04350922440196662
dp_embedding_cosine,0.048605336861254414,0.042717453114121756
skill_overlap_count,0.03259837386838842,0.027514756039294964
kg_skill_coverage,0.0,0.0
title_or_category_match,0.0,0.0
