metric,value
raw_files,276
profiles_rows,276
candidates_rows,276
labels_rows,94
knowledge_rows,276
label_source,score_threshold
score_threshold_raw,7.0
matched_label_1,23
mismatched_label_0,71
excluded_rows,182
excluded_invalid_rows,142
excluded_missing_info_rows,40
all_raw_label_rows_before_matching_filter,276
valid_true,131
valid_false,145
empty_additional_info,40
match_files,94
invalid_resume_files,55
invalid_job_description_files,57
invalid_gibberish_resume_files,15
invalid_gibberish_job_description_files,15
empty_additional_info_files,40
