Method,NegativeType,seeds,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,MRR_mean,MRR_std,Hit@1_mean,Hit@1_std,Consistency_mean,Consistency_std,epsilon,sigma
TF-IDF+Cosine,random,3407;42;2026,0.28498727735368956,0.0035985077922979316,0.20230531132873972,0.003306073295643681,0.24379908282195992,0.003298079584582306,0.12213740458015265,0.006232798327692564,0.373700811915093,0.0033745289847905203,,
BM25,random,3407;42;2026,0.19338422391857504,0.0035985077922979446,0.14466580517868313,0.0025384945147817434,0.20276199608762888,0.0056848407291487475,0.09923664122137404,0.006232798327692564,0.3717350525296353,0.0026299537685001728,,
Embedding,random,3407;42;2026,0.22900763358778628,0.006232798327692564,0.1678485660362364,0.0067005321073452155,0.21730278623727448,0.0063884568300562146,0.10687022900763359,0.010795523376893854,0.36990238490328387,0.003166661329110685,,
KG-Enhanced,random,3407;42;2026,0.35877862595419846,0.006232798327692576,0.24186897634483084,0.0008919486355085288,0.26217186574287227,0.0018695817414914428,0.1272264631043257,0.003598507792297951,0.4123429318912468,0.00414046737879366,,
DP-Embedding,random,3407;42;2026,0.2111959287531807,0.01799253896148976,0.12127341766018286,0.01663100758776628,0.1603021813409283,0.01501002383752931,0.035623409669211195,0.012974604360286983,0.33435337637228946,0.002907993611264722,2.0,2.4224026313026945
DP-KER,random,3407;42;2026,0.29770992366412213,0.010795523376893873,0.19923028581960123,0.0027527482227175984,0.2287164754736777,0.0024138693478595536,0.09669211195928752,0.003598507792297951,0.39187603081071304,0.004087656728896241,2.0,2.4224026313026945
TF-IDF+Cosine,hard,,0.12213740458015267,0.0,0.09154414404365072,0.0,0.1291563018053695,0.0,0.061068702290076333,0.0,0.4573252056874766,0.0,,
BM25,hard,,0.15267175572519084,0.0,0.09499901500490113,0.0,0.13421804331187973,0.0,0.04580152671755725,0.0,0.44797204955354025,0.0,,
Embedding,hard,,0.1297709923664122,0.0,0.0931496297384775,0.0,0.12823869971820956,0.0,0.05343511450381679,0.0,0.4569517680165767,0.0,,
KG-Enhanced,hard,,0.22900763358778625,0.0,0.15724824224045295,0.0,0.18960231106202793,0.0,0.08396946564885496,0.0,0.48558192404649103,0.0,,
DP-Embedding,hard,3407;42;2026,0.2315521628498728,0.030745664054948024,0.13342018309233447,0.021296017443602613,0.1678148133693711,0.018378434057391195,0.048346055979643775,0.019041513418696903,0.3588419276042811,0.0009472038063545021,2.0,2.4224026313026945
DP-KER,hard,3407;42;2026,0.20865139949109412,0.025949208720573963,0.12412588713350053,0.01126407250438342,0.15830663447678314,0.0047313658017311515,0.04580152671755725,0.006232798327692564,0.4670651155549228,0.0030046167157667223,2.0,2.4224026313026945
