mode,Method,NegativeType,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,MRR_mean,MRR_std,Hit@1_mean,Hit@1_std,runs
final,BM25,hard,0.07333333333333333,0.0586262487034352,0.055330500086791495,0.04788794250524404,0.09863905084519117,0.04147605168583192,0.03777777777777778,0.04192880503136268,15
final,BM25,random,0.21333333333333335,0.06061414087549268,0.14263023229177144,0.056398686264898606,0.18519731978452306,0.051507575049905205,0.07555555555555556,0.0589622184952071,15
final,DP-Embedding,hard,0.21777777777777776,0.09495938052987332,0.1263758828214197,0.06018532777587518,0.16419950328309463,0.04569864230575929,0.03777777777777778,0.03189488909868294,15
final,DP-Embedding,random,0.24444444444444444,0.09162456945817023,0.14486048324167525,0.05789063520371842,0.17586906864873839,0.04778102453222069,0.05333333333333333,0.04521553322083512,15
final,DP-KER-v1,hard,0.06666666666666667,0.0557773351022717,0.0518918084669289,0.04771938774890295,0.0972408767607426,0.042019933542662376,0.035555555555555556,0.039377878103709664,15
final,DP-KER-v1,random,0.2177777777777778,0.05691665988829198,0.1433925190837618,0.05509975765722373,0.18409054852192105,0.05251885677514087,0.07333333333333333,0.06347936380926977,15
final,DP-KER-v2,hard,0.5777777777777777,0.12804320258567053,0.43252384333724947,0.10442732268628892,0.42321139855634177,0.09099763732515809,0.2866666666666667,0.10168943278797822,15
final,DP-KER-v2,random,0.4955555555555555,0.11602468873072543,0.3197405848790872,0.08323654686957259,0.31766680608502074,0.06370188576630542,0.14444444444444446,0.05533288710217214,15
final,Embedding,hard,0.16444444444444445,0.08473633762194498,0.12531856935337088,0.06336223726376565,0.1681576020967146,0.05258318380901553,0.08666666666666668,0.04988876515698588,15
final,Embedding,random,0.3266666666666666,0.07812620369443088,0.21223001849187337,0.059645696549672556,0.23774744270177706,0.05081731630486615,0.1,0.06440611887195306,15
final,KG-only,hard,0.33555555555555555,0.09386094258641278,0.22360736837998998,0.0682988985727346,0.24171781035919318,0.06065136239149562,0.11111111111111113,0.07269078770576055,15
final,KG-only,random,0.391111111111111,0.08296957645597543,0.2622065040916247,0.06221260762999574,0.27702133243051713,0.050835691067463565,0.13777777777777775,0.05286834334831253,15
final,TF-IDF,hard,0.16,0.08623825738636558,0.12154022891893075,0.06834259681014486,0.16585084160574354,0.05670623380334627,0.08444444444444445,0.0542513582921498,15
final,TF-IDF,random,0.32888888888888884,0.06539528430916516,0.21981296448895957,0.056680544025715554,0.24738672943652298,0.05296728185054061,0.12000000000000001,0.061824123303304696,15
